Timeline Trace
Generated on: 2021-04-28 05:43:57
Msec since Epoch: 1619588637931
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
17.19688,clGetPlatformIDs|General,START,,,,,,,,,,,0,
17.33479,clGetPlatformIDs|General,END,,,,,,,,,,,0,
17.3827,clGetPlatformIDs|General,START,,,,,,,,,,,1,
17.40837,clGetPlatformIDs|General,END,,,,,,,,,,,1,
17.43842,clGetPlatformInfo|General,START,,,,,,,,,,,2,
17.46528,clGetPlatformInfo|General,END,,,,,,,,,,,2,
17.48703,clGetPlatformInfo|General,START,,,,,,,,,,,3,
17.50882,clGetPlatformInfo|General,END,,,,,,,,,,,3,
17.60268,clGetDeviceIDs|General,START,,,,,,,,,,,4,
17.63514,clGetDeviceIDs|General,END,,,,,,,,,,,4,
17.65641,clGetDeviceIDs|General,START,,,,,,,,,,,5,
17.67772,clGetDeviceIDs|General,END,,,,,,,,,,,5,
17.70408,clRetainDevice|General,START,,,,,,,,,,,6,
17.73306,clRetainDevice|General,END,,,,,,,,,,,6,
17.75497,clRetainDevice|General,START,,,,,,,,,,,7,
17.7758,clRetainDevice|General,END,,,,,,,,,,,7,
17.80858,clCreateContext|General,START,,,,,,,,,,,8,
29.90284,clCreateContext|General,END,,,,,,,,,,,8,
46.80145,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
128.8237,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
128.93671,clCreateCommandQueue|General,START,,,,,,,,,,,10,
128.99157,clCreateCommandQueue|General,END,,,,,,,,,,,10,
129.0211,clCreateKernel|General,START,,,,,,,,,,,11,
133.2211,clCreateKernel|General,END,,,,,,,,,,,11,
133.25406,clCreateBuffer|General,START,,,,,,,,,,,12,
133.66626,clCreateBuffer|General,END,,,,,,,,,,,12,
133.69316,clCreateBuffer|General,START,,,,,,,,,,,13,
133.77782,clCreateBuffer|General,END,,,,,,,,,,,13,
133.80257,clCreateBuffer|General,START,,,,,,,,,,,14,
133.85202,clCreateBuffer|General,END,,,,,,,,,,,14,
133.88125,clSetKernelArg|General,START,,,,,,,,,,,15,
133.91873,clSetKernelArg|General,END,,,,,,,,,,,15,
133.93981,clSetKernelArg|General,START,,,,,,,,,,,16,
133.96411,clSetKernelArg|General,END,,,,,,,,,,,16,
133.98451,clSetKernelArg|General,START,,,,,,,,,,,17,
134.007,clSetKernelArg|General,END,,,,,,,,,,,17,
134.03225,clEnqueueMapBuffer|187650676966912,START,,,,,,,,,,,18,
134.59826,clEnqueueMapBuffer|187650676966912,END,,,,,,,,,,,18,
134.6293,clEnqueueMapBuffer|187650676966912,START,,,,,,,,,,,19,
134.69415,clEnqueueMapBuffer|187650676966912,END,,,,,,,,,,,19,
134.72219,clEnqueueMapBuffer|187650676966912,START,,,,,,,,,,,20,
134.78232,clEnqueueMapBuffer|187650676966912,END,,,,,,,,,,,20,
134.80865,clSetKernelArg|General,START,,,,,,,,,,,21,
134.83172,clSetKernelArg|General,END,,,,,,,,,,,21,
134.85219,clSetKernelArg|General,START,,,,,,,,,,,22,
134.87406,clSetKernelArg|General,END,,,,,,,,,,,22,
134.8941,clSetKernelArg|General,START,,,,,,,,,,,23,
134.91517,clSetKernelArg|General,END,,,,,,,,,,,23,
135.70632,clSetKernelArg|General,START,,,,,,,,,,,24,
135.73304,clSetKernelArg|General,END,,,,,,,,,,,24,
135.75891,clRetainMemObject|General,START,,,,,,,,,,,25,
135.78606,clRetainMemObject|General,END,,,,,,,,,,,25,
135.80765,clRetainMemObject|General,START,,,,,,,,,,,26,
135.82954,clRetainMemObject|General,END,,,,,,,,,,,26,
135.85527,clEnqueueMigrateMemObjects|187650676966912,START,,,,,,,,,,,27,
135.92774,WRITE_BUFFER,QUEUE,0X42b62000|HP2,8192,,,,,,,,,
135.98099,WRITE_BUFFER,SUBMIT,0X42b62000|HP2,8192,,,,,,,,,
136.01776,clEnqueueMigrateMemObjects|187650676966912,END,,,,,,,,,,,27,
136.05025,clReleaseMemObject|General,START,,,,,,,,,,,28,
136.05175,WRITE_BUFFER,START,0X42b62000|HP2|0Xffffb1489170,8192,,,,,,,3,None,
136.07901,clReleaseMemObject|General,END,,,,,,,,,,,28,
136.17973,clReleaseMemObject|General,START,,,,,,,,,,,29,
136.17802,WRITE_BUFFER,END,0X42b62000|HP2|0Xffffb1489170,8192,,,,,,,3,None,
136.20588,clReleaseMemObject|General,END,,,,,,,,,,,29,
136.29134,clRetainEvent|General,START,,,,,,,,,,,30,
136.31664,clRetainEvent|General,END,,,,,,,,,,,30,
136.34374,clEnqueueTask|187650676966912,START,,,,,,,,,,,31,
136.39354,DEPENDENCY_EVENT,,3,4,
136.44654,DEPENDENCY_EVENT,,4,5,
136.59259,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,QUEUE,0XAAAAD3F1EC40,1,,,,,,,,,
136.68999,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,SUBMIT,0XAAAAD3F1EC40,1,,,,,,,,,
136.72704,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,START,0XAAAAD3F1EC40,1,,,,,,,5,None,
136.96761,clEnqueueTask|187650676966912,END,,,,,,,,,,,31,
136.99759,clRetainEvent|General,START,,,,,,,,,,,32,
137.02049,clRetainEvent|General,END,,,,,,,,,,,32,
137.04142,clRetainMemObject|General,START,,,,,,,,,,,33,
137.06348,clRetainMemObject|General,END,,,,,,,,,,,33,
137.08431,clRetainMemObject|General,START,,,,,,,,,,,34,
137.1057,clRetainMemObject|General,END,,,,,,,,,,,34,
137.12638,clRetainMemObject|General,START,,,,,,,,,,,35,
137.1482,clRetainMemObject|General,END,,,,,,,,,,,35,
137.16883,clRetainMemObject|General,START,,,,,,,,,,,36,
137.18987,clRetainMemObject|General,END,,,,,,,,,,,36,
137.21106,clEnqueueMigrateMemObjects|187650676966912,START,,,,,,,,,,,37,
137.24107,DEPENDENCY_EVENT,,5,6,
137.26244,DEPENDENCY_EVENT,,5,6,
137.27759,READ_BUFFER,QUEUE,0X42b6d000|HP2,32772,,,,,,,,,
137.30296,clEnqueueMigrateMemObjects|187650676966912,END,,,,,,,,,,,37,
137.32872,clReleaseMemObject|General,START,,,,,,,,,,,38,
137.35133,clReleaseMemObject|General,END,,,,,,,,,,,38,
137.37239,clReleaseMemObject|General,START,,,,,,,,,,,39,
137.39397,clReleaseMemObject|General,END,,,,,,,,,,,39,
137.41787,clReleaseMemObject|General,START,,,,,,,,,,,40,
137.46196,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,END,0XAAAAD3F1EC40,1,,,,,,,5,6|6,
137.48956,clReleaseMemObject|General,END,,,,,,,,,,,40,
137.5728,READ_BUFFER,SUBMIT,0X42b6d000|HP2,32772,,,,,,,,,
137.59596,clReleaseMemObject|General,START,,,,,,,,,,,41,
137.65773,clReleaseMemObject|General,END,,,,,,,,,,,41,
137.67946,READ_BUFFER,START,0X42b6d000|HP2|0Xffffb0c88170,32772,,,,,,,6,None,
137.68004,clRetainEvent|General,START,,,,,,,,,,,42,
137.72867,READ_BUFFER,END,0X42b6d000|HP2|0Xffffb0c88170,32772,,,,,,,6,None,
137.7473,clRetainEvent|General,END,,,,,,,,,,,42,
137.81876,clWaitForEvents|General,START,,,,,,,,,,,43,
137.84526,clWaitForEvents|General,END,,,,,,,,,,,43,
137.86943,clFinish|General,START,,,,,,,,,,,44,
137.89416,clFinish|General,END,,,,,,,,,,,44,
138.50521,clSetKernelArg|General,START,,,,,,,,,,,45,
138.53119,clSetKernelArg|General,END,,,,,,,,,,,45,
138.55313,clRetainMemObject|General,START,,,,,,,,,,,46,
138.57499,clRetainMemObject|General,END,,,,,,,,,,,46,
138.59608,clRetainMemObject|General,START,,,,,,,,,,,47,
138.61773,clRetainMemObject|General,END,,,,,,,,,,,47,
138.63868,clEnqueueMigrateMemObjects|187650676966912,START,,,,,,,,,,,48,
138.67004,WRITE_BUFFER,QUEUE,0X42b62000|HP2,8192,,,,,,,,,
138.69702,WRITE_BUFFER,SUBMIT,0X42b62000|HP2,8192,,,,,,,,,
138.72741,clEnqueueMigrateMemObjects|187650676966912,END,,,,,,,,,,,48,
138.75537,WRITE_BUFFER,START,0X42b62000|HP2|0Xffffabfff170,8192,,,,,,,7,None,
138.75614,clReleaseEvent|General,START,,,,,,,,,,,49,
138.82197,WRITE_BUFFER,END,0X42b62000|HP2|0Xffffabfff170,8192,,,,,,,7,None,
138.84644,clReleaseEvent|General,END,,,,,,,,,,,49,
138.91224,clReleaseMemObject|General,START,,,,,,,,,,,50,
138.93477,clReleaseMemObject|General,END,,,,,,,,,,,50,
138.95598,clReleaseMemObject|General,START,,,,,,,,,,,51,
138.9774,clReleaseMemObject|General,END,,,,,,,,,,,51,
138.99831,clRetainEvent|General,START,,,,,,,,,,,52,
139.01892,clRetainEvent|General,END,,,,,,,,,,,52,
139.03946,clEnqueueTask|187650676966912,START,,,,,,,,,,,53,
139.06951,DEPENDENCY_EVENT,,3,8,
139.0846,DEPENDENCY_EVENT,,7,8,
139.11254,DEPENDENCY_EVENT,,8,9,
139.15306,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,QUEUE,0XAAAAD3F1EC40,1,,,,,,,,,
139.19769,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,SUBMIT,0XAAAAD3F1EC40,1,,,,,,,,,
139.22962,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,START,0XAAAAD3F1EC40,1,,,,,,,9,None,
139.30138,clEnqueueTask|187650676966912,END,,,,,,,,,,,53,
139.3275,clReleaseEvent|General,START,,,,,,,,,,,54,
139.35014,clReleaseEvent|General,END,,,,,,,,,,,54,
139.37104,clRetainEvent|General,START,,,,,,,,,,,55,
139.39268,clRetainEvent|General,END,,,,,,,,,,,55,
139.41301,clRetainMemObject|General,START,,,,,,,,,,,56,
139.43551,clRetainMemObject|General,END,,,,,,,,,,,56,
139.45635,clRetainMemObject|General,START,,,,,,,,,,,57,
139.47759,clRetainMemObject|General,END,,,,,,,,,,,57,
139.67836,clRetainMemObject|General,START,,,,,,,,,,,58,
139.70344,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,END,0XAAAAD3F1EC40,1,,,,,,,9,None,
139.734,clRetainMemObject|General,END,,,,,,,,,,,58,
139.81241,clRetainMemObject|General,START,,,,,,,,,,,59,
139.83485,clRetainMemObject|General,END,,,,,,,,,,,59,
139.85623,clEnqueueMigrateMemObjects|187650676966912,START,,,,,,,,,,,60,
139.88411,DEPENDENCY_EVENT,,5,10,
139.899,DEPENDENCY_EVENT,,9,10,
139.91885,READ_BUFFER,QUEUE,0X42b6d000|HP2,32772,,,,,,,,,
139.94584,READ_BUFFER,SUBMIT,0X42b6d000|HP2,32772,,,,,,,,,
139.97872,clEnqueueMigrateMemObjects|187650676966912,END,,,,,,,,,,,60,
139.99821,READ_BUFFER,START,0X42b6d000|HP2|0Xffffb1c8a170,32772,,,,,,,10,None,
140.00752,clReleaseEvent|General,START,,,,,,,,,,,61,
140.06139,READ_BUFFER,END,0X42b6d000|HP2|0Xffffb1c8a170,32772,,,,,,,10,None,
140.08335,clReleaseEvent|General,END,,,,,,,,,,,61,
140.14822,clReleaseMemObject|General,START,,,,,,,,,,,62,
140.17155,clReleaseMemObject|General,END,,,,,,,,,,,62,
140.19273,clReleaseMemObject|General,START,,,,,,,,,,,63,
140.21397,clReleaseMemObject|General,END,,,,,,,,,,,63,
140.23483,clReleaseMemObject|General,START,,,,,,,,,,,64,
140.25595,clReleaseMemObject|General,END,,,,,,,,,,,64,
140.27651,clReleaseMemObject|General,START,,,,,,,,,,,65,
140.29761,clReleaseMemObject|General,END,,,,,,,,,,,65,
140.31863,clRetainEvent|General,START,,,,,,,,,,,66,
140.33932,clRetainEvent|General,END,,,,,,,,,,,66,
140.35975,clWaitForEvents|General,START,,,,,,,,,,,67,
140.3819,clWaitForEvents|General,END,,,,,,,,,,,67,
140.40192,clFinish|General,START,,,,,,,,,,,68,
140.42375,clFinish|General,END,,,,,,,,,,,68,
140.7078,clSetKernelArg|General,START,,,,,,,,,,,69,
140.73452,clSetKernelArg|General,END,,,,,,,,,,,69,
140.75605,clRetainMemObject|General,START,,,,,,,,,,,70,
140.77829,clRetainMemObject|General,END,,,,,,,,,,,70,
140.79931,clRetainMemObject|General,START,,,,,,,,,,,71,
140.8208,clRetainMemObject|General,END,,,,,,,,,,,71,
140.84164,clEnqueueMigrateMemObjects|187650676966912,START,,,,,,,,,,,72,
140.87265,WRITE_BUFFER,QUEUE,0X42b62000|HP2,8192,,,,,,,,,
140.89914,WRITE_BUFFER,SUBMIT,0X42b62000|HP2,8192,,,,,,,,,
140.92874,clEnqueueMigrateMemObjects|187650676966912,END,,,,,,,,,,,72,
140.94612,WRITE_BUFFER,START,0X42b62000|HP2|0Xffffb1489170,8192,,,,,,,11,None,
140.95615,clReleaseEvent|General,START,,,,,,,,,,,73,
141.00175,WRITE_BUFFER,END,0X42b62000|HP2|0Xffffb1489170,8192,,,,,,,11,None,
141.02333,clReleaseEvent|General,END,,,,,,,,,,,73,
141.08789,clReleaseMemObject|General,START,,,,,,,,,,,74,
141.11048,clReleaseMemObject|General,END,,,,,,,,,,,74,
141.13183,clReleaseMemObject|General,START,,,,,,,,,,,75,
141.1533,clReleaseMemObject|General,END,,,,,,,,,,,75,
141.17408,clRetainEvent|General,START,,,,,,,,,,,76,
141.19482,clRetainEvent|General,END,,,,,,,,,,,76,
141.21535,clEnqueueTask|187650676966912,START,,,,,,,,,,,77,
141.24401,DEPENDENCY_EVENT,,3,12,
141.2594,DEPENDENCY_EVENT,,7,12,
141.27362,DEPENDENCY_EVENT,,11,12,
141.30001,DEPENDENCY_EVENT,,12,13,
141.33605,KERNEL|edge-0|hardware_encoding|hardware_encoding|1:1:1|all,QUEUE,0XAAAAD3F1EC40,1,,,,,,,,,
